emp_id,emp_name,emp_dob,emp_age,job_role,store_id,emp_gender,emp_rating,job_level,emp_salary
emp9035,Cecil Lintin,09-11-1971,51,store_manager,28,Female,3,5,15
emp1659,Riane Nockalls,24-09-1961,61,store_manager,27,Female,5,3,15
emp8914,Aurilia Kief,06-09-1957,65,store_manager,41,Female,5,3,15
emp0346,Lorilee Yankin,26-12-1978,43,customer_assistant,38,Female,5,5,12.5
emp5012,Christopher Blench,05-04-1959,63,store_manager,29,Male,5,5,15
emp8688,Carolee Limpenny,01-09-1963,59,store_manager,41,Female,5,5,15
emp7981,Armstrong Mascall,07-07-1971,51,store_manager,29,Male,5,1,15
emp6118,Amber McGregor,24-11-1958,64,store_manager,16,Female,3,1,15
emp5986,Almira Ballaam,18-05-1967,55,store_manager,6,Female,3,3,15
emp9834,Anna-diane Binny,30-11-1978,44,customer_assistant,4,Female,5,3,12.5
emp0983,Daniel Konrad,01-06-1968,54,store_manager,23,Male,4,2,15
emp5927,Bessie Shedd,01-03-1986,36,customer_assistant,37,Female,5,1,12.5
emp2127,Danny Jakaway,16-09-1957,65,store_manager,14,Female,5,1,15
emp3092,Tracy Jolliman,07-11-1952,70,store_manager,36,Male,4,2,15
emp6213,Josselyn Feake,10-12-1973,48,inventory_specialist,35,Female,5,2,12.5
emp2568,Carolina Penwright,25-03-1954,68,store_manager,25,Female,2,1,15
emp5013,Malena Valentelli,28-12-1986,35,customer_assistant,36,Female,5,3,12.5
emp6919,Olivero Pudsey,07-04-1991,31,customer_assistant,43,Male,5,1,10
emp2467,Francklin Hanrahan,27-05-1968,54,store_manager,16,Male,5,3,15
emp2099,Roze Rayment,15-06-1976,46,inventory_specialist,9,Female,5,4,12.5
emp1361,Lucias Tebb,10-06-1977,45,customer_assistant,43,Male,5,5,12.5
emp7035,Ferdinand Wharf,23-06-1986,36,customer_assistant,25,Male,5,1,12.5
emp6105,Sari Mucci,05-10-1982,40,customer_assistant,35,Female,5,1,12.5
emp2110,Reinhard Saltmarshe,04-05-1965,57,store_manager,2,Male,4,1,15
emp0893,Roanna Sully,26-02-1985,37,customer_assistant,39,Female,4,1,12.5
emp0433,Kingston Crucitti,10-03-1990,32,customer_assistant,9,Male,3,1,10
emp9903,Maritsa Branscombe,19-04-1966,56,store_manager,43,Female,4,2,15
emp2750,Mame Cheke,05-10-1972,50,store_manager,42,Female,3,1,15
emp3391,Phyllys Marnes,01-10-1966,56,store_manager,7,Female,4,5,15
emp7884,Zarla Kindread,04-08-1975,47,inventory_specialist,32,Female,3,3,12.5
emp5366,Smitty Stores,29-12-1953,68,store_manager,39,Male,5,1,15
emp3044,Shellie Benz,03-12-1984,38,customer_assistant,40,Female,2,3,12.5
emp5092,Mannie Gutherson,13-06-1958,64,store_manager,34,Male,5,1,15
emp6941,Von Paliser,09-02-1966,56,store_manager,36,Male,5,2,15
emp7497,Elisha Hallbird,24-05-1963,59,store_manager,2,Female,4,1,15
emp4265,Kahlil Eke,02-02-1953,69,store_manager,7,Male,5,4,15
emp8473,Trever Tanslie,27-08-1972,50,store_manager,30,Male,4,2,15
emp3036,Tulley Hallowes,07-05-1973,49,inventory_specialist,29,Male,1,1,12.5
emp5704,Hesther Wainer,19-02-1965,57,store_manager,25,Female,5,1,15
emp2545,Chrysler Deek,05-11-1959,63,store_manager,24,Female,3,2,15
emp4121,Trescha Crates,10-02-1965,57,store_manager,39,Female,5,2,15
emp1644,Kirk Vellden,17-08-1977,45,customer_assistant,18,Male,3,2,12.5
emp6823,Erica Watsham,06-12-1952,70,store_manager,42,Female,5,1,15
emp6920,Ibby Lyosik,08-02-1969,53,store_manager,8,Female,4,2,15
emp2017,Gerrie Kayser,05-04-1978,44,customer_assistant,20,Male,3,1,12.5
emp0341,Mattias Coles,20-11-1981,41,customer_assistant,30,Male,5,1,12.5
emp6640,Igor Vamplew,07-11-1975,47,inventory_specialist,43,Male,4,4,12.5
emp8553,Malissia Derye-Barrett,29-01-1982,40,customer_assistant,20,Female,5,1,12.5
emp7796,Ermentrude Tytterton,22-09-1951,71,store_manager,30,Female,5,1,15
emp7151,Umberto Duly,26-07-1978,44,customer_assistant,5,Male,5,1,12.5
emp0079,Shanan Brigdale,15-03-1955,67,store_manager,37,Male,5,1,15
emp2834,Irvin McSharry,12-07-1959,63,store_manager,2,Male,3,1,15
emp4079,Lynelle McRamsey,20-10-1991,31,customer_assistant,3,Female,4,1,10
emp2030,Laurence Sword,26-01-1958,64,store_manager,30,Male,3,1,15
emp2380,Shirley Brandham,13-12-1974,47,inventory_specialist,30,Female,4,1,12.5
emp1164,Benjamin Finey,27-04-1971,51,store_manager,39,Male,3,1,15
emp6065,Glenna Prator,08-01-1954,68,store_manager,28,Female,4,5,15
emp7301,Perla Garfit,15-02-1983,39,customer_assistant,29,Female,4,2,12.5
emp2561,Silva Stebbings,04-01-1973,49,inventory_specialist,27,Female,5,3,12.5
emp6750,Lin Defraine,24-12-1966,55,store_manager,17,Female,1,3,15
emp9539,Arni Crepin,05-04-1960,62,store_manager,10,Male,4,2,15
emp1420,Kendall Bandt,04-07-1987,35,customer_assistant,24,Male,5,1,12.5
emp9902,Roosevelt Leveridge,03-02-1962,60,store_manager,20,Male,5,1,15
emp6749,Dallis Brayley,17-07-1971,51,store_manager,31,Male,3,1,15
emp2970,Carey Beeze,14-01-1956,66,store_manager,31,Male,5,1,15
emp1746,Markos Mennear,24-04-1962,60,store_manager,41,Male,5,1,15
emp6066,Gerik Holme,23-03-1976,46,inventory_specialist,31,Male,4,2,12.5
emp7109,Hilly Cammidge,05-01-1968,54,store_manager,19,Male,5,1,15
emp1298,Moshe Cruttenden,05-10-1970,52,store_manager,43,Male,5,1,15
emp4174,Arlyn Muggleston,05-09-1989,33,customer_assistant,15,Male,4,1,10
emp6233,Elli Dreini,10-11-1971,51,store_manager,36,Male,4,1,22
emp5437,Orson Cadlock,01-04-1968,54,store_manager,41,Male,4,1,22
emp5466,Chadd McCafferky,30-09-1974,48,inventory_specialist,11,Male,3,1,12.5
emp3686,Hunter Pettit,01-11-1990,32,customer_assistant,28,Male,5,1,10
emp9629,Val Lowndesbrough,12-05-1968,54,store_manager,3,Male,5,2,22
emp4052,Halsey Skydall,23-10-1965,57,store_manager,1,Male,5,1,22
emp9482,Ronnica Allain,24-03-1986,36,customer_assistant,31,Male,5,1,12.5
emp5716,Rafa Jurzyk,22-11-1975,47,inventory_specialist,17,Male,5,1,12.5
emp6680,Hermann Itzkovici,10-07-1958,64,store_manager,37,Male,5,1,22
emp2875,Carl Cousins,15-02-1977,45,customer_assistant,35,Male,5,1,12.5
emp5865,Roanna Kiffe,24-06-1975,47,inventory_specialist,7,Male,4,1,12.5
emp9968,Cordey Sixsmith,06-09-1978,44,customer_assistant,16,Male,5,3,12.5
emp7536,Galen Slatten,05-01-1989,33,customer_assistant,30,Male,5,4,10
emp6430,Ramsay Bavridge,29-09-1973,49,inventory_specialist,7,Male,5,1,12.5
emp7200,Abbey Lorkin,26-08-1991,31,customer_assistant,19,Male,5,3,10
emp9823,Rora Coopman,18-08-1956,66,store_manager,34,Male,5,2,22
emp0802,Reilly Kausche,05-05-1961,61,store_manager,21,Male,5,2,22
emp1345,Francoise Rennocks,02-11-1988,34,customer_assistant,27,Male,4,3,10
emp1522,Lowrance Capner,10-05-1974,48,inventory_specialist,19,Male,2,5,12.5
emp2626,Ian Selland,20-09-1969,53,store_manager,36,Male,5,5,22
emp5437,Anette Hamlet,09-07-1979,43,customer_assistant,45,Male,5,2,12.5
emp9102,Bald Gehrts,26-05-1969,53,store_manager,29,Male,2,1,22
emp9014,Geneva Snoad,13-11-1958,64,store_manager,38,Male,2,3,22
emp0826,Ag Aylmer,02-01-1957,65,store_manager,2,Male,5,1,22
emp7354,Gar Normanville,18-09-1964,58,store_manager,15,Male,5,2,22
emp3975,Katusha Taffe,10-08-1975,47,inventory_specialist,40,Male,5,1,12.5
emp5849,Hashim Dimond,18-07-1977,45,customer_assistant,10,Male,5,3,12.5
emp3484,Charmaine Bluck,08-06-1974,48,inventory_specialist,11,Male,3,1,12.5
emp9074,Ashlen Bertolaccini,10-02-1952,70,store_manager,42,Male,5,2,22
emp3413,Terrel Papa,19-12-1983,38,customer_assistant,32,Male,5,3,12.5
emp9239,Elvin Shearwood,04-01-1983,39,customer_assistant,45,Male,5,2,12.5
emp1278,Bambie Biford,01-02-1986,36,customer_assistant,12,Male,4,2,12.5
emp4588,Skye Cainey,07-10-1983,39,customer_assistant,16,Male,5,3,12.5
emp7174,Bren Younglove,10-06-1965,57,store_manager,25,Male,5,1,22
emp3693,Emile Dunkerly,07-05-1983,39,customer_assistant,26,Male,4,1,12.5
emp3374,Charlena Fabler,20-10-1960,62,store_manager,14,Male,4,2,22
emp8026,Mohandas Balsillie,01-03-1986,36,customer_assistant,24,Male,3,2,12.5
emp1806,Henri Bony,20-06-1978,44,customer_assistant,2,Male,4,4,12.5
emp1509,Ingrim Vanichev,13-04-1981,41,customer_assistant,29,Male,4,1,12.5
emp1283,Laney Wheildon,21-06-1988,34,customer_assistant,30,Male,5,3,10
emp6106,Chico Helder,03-10-1977,45,customer_assistant,44,Male,2,3,12.5
emp3910,Irma Bebb,06-11-1964,58,store_manager,20,Male,5,4,22
emp5269,Lorene Greetham,18-01-1970,52,store_manager,12,Male,2,3,22
emp8269,Car Klazenga,09-06-1984,38,customer_assistant,3,Male,4,1,12.5
emp1494,Aidan Banasevich,08-03-1965,57,store_manager,38,Male,4,1,22
emp1030,Vevay Pavia,17-12-1960,61,store_manager,7,Male,2,3,22
emp1990,Welsh Purser,22-09-1953,69,store_manager,16,Male,5,3,15
